"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 07 13:36:07 UTC 2026","Sun Jun 07 13:36:10 UTC 2026","2512","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","userCanChangeNameTest","userCanChangeNameTest()",""
"passed","Sun Jun 07 13:36:24 UTC 2026","Sun Jun 07 13:36:26 UTC 2026","2099","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:36:38 UTC 2026","Sun Jun 07 13:36:38 UTC 2026","47","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","unauthorizedTransferError","unauthorizedTransferError()","Покрытие Swagger Coverage: 401 Unauthorized для /transfer"
"passed","Sun Jun 07 13:35:32 UTC 2026","Sun Jun 07 13:35:37 UTC 2026","5688","","api.TransferWithFraudCheckTest","","api.TransferWithFraudCheckTest","testTransferWithFraudCheck","testTransferWithFraudCheck()",""
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","43","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCantLoginTest","userCantLoginTest(String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","207","","api.iteration1.CreateAccountTest","","api.iteration1.CreateAccountTest","unauthorizedAccountsError","unauthorizedAccountsError()","Покрытие Swagger Coverage: 401 Unauthorized для GET /accounts"
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","43","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCantLoginTest","userCantLoginTest(String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:34:47 UTC 2026","Sun Jun 07 13:34:52 UTC 2026","4932","","ui.iteration2.UpdateUserNameTest","","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithoutEnterNameTest","userCantChangeNameWithoutEnterNameTest()",""
"passed","Sun Jun 07 13:34:41 UTC 2026","Sun Jun 07 13:34:47 UTC 2026","6080","","ui.iteration2.DepositAccountTest","","ui.iteration2.DepositAccountTest","userCanDepositAccountTest","userCanDepositAccountTest()",""
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","50","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCantLoginTest","userCantLoginTest(String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:04 UTC 2026","Sun Jun 07 13:37:04 UTC 2026","27","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","unauthorizedPostUsersError","unauthorizedPostUsersError()","Покрытие Swagger Coverage: 401 Unauthorized для POST /users"
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:11 UTC 2026","1585","","api.iteration1.CreateAccountTest","","api.iteration1.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Sun Jun 07 13:36:29 UTC 2026","Sun Jun 07 13:36:34 UTC 2026","5256","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCanTransferMoneyDifferentUserTest","userCanTransferMoneyDifferentUserTest()",""
"passed","Sun Jun 07 13:35:57 UTC 2026","Sun Jun 07 13:35:57 UTC 2026","40","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","unauthorizedDepositError","unauthorizedDepositError()","Покрытие Swagger Coverage: 401 Unauthorized для /deposit"
"passed","Sun Jun 07 13:36:16 UTC 2026","Sun Jun 07 13:36:18 UTC 2026","2152","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:50 UTC 2026","Sun Jun 07 13:35:51 UTC 2026","1548","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCantDepositToNonExistAccount","userCantDepositToNonExistAccount()",""
